[2019-11-07 11:34:47,165 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 11:34:47,172 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 11:34:47,174 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 11:34:47,175 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 11:34:56,132 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 11:34:56,132 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 11:34:56
[2019-11-07 11:34:56,234 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 11:34:56,235 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 11:34:56,242 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 11:34:56,243 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 11:34:56,244 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 11:36:28,872 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 11:36:28,873 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 11:36:28
[2019-11-07 11:36:28,977 | LV:DEBUG | mysql.py:20 ] [  Successfully Load DB Config  ]
[2019-11-07 11:36:28,978 | LV:DEBUG | mysql.py:89 ] [  Successfully Load DB Query  ]
[2019-11-07 11:36:28,984 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_USER_TABLE
[2019-11-07 11:36:28,986 | LV:DEBUG | mysql.py:44 ] Create Query : CREATE_TODO_TABLE
[2019-11-07 11:36:28,987 | LV:DEBUG | mysql.py:52 ] [ Successfully Initialize table ]
[2019-11-07 14:16:41,402 | LV:DEBUG | logAgent.py:38 ] ----------------------------------------------------
[2019-11-07 14:16:41,402 | LV:DEBUG | logAgent.py:39 ] 2019-11-07 14:16:41
